SERIES,ORDER,AICC,BEST,COEFFICIENTS,FORECAST_2025-26,FORECAST_2025-26_LOWER95,FORECAST_2025-26_UPPER95,FORECAST_2026-27,FORECAST_2026-27_LOWER95,FORECAST_2026-27_UPPER95,FORECAST_2027-28,FORECAST_2027-28_LOWER95,FORECAST_2027-28_UPPER95
LEAGUE,"(0, 1, 1)",53.23181715440288,True,"{'intercept': {'COEF': 1.145, 'SE': 0.388, 'P': 0.0032}, 'ma.L1': {'COEF': 1.0, 'SE': 7154.474, 'P': 0.9999}, 'sigma2': {'COEF': 0.646, 'SE': 4621.375, 'P': 0.9999}}",38.98564460941134,37.37152054759673,40.599768671225945,40.13075597835861,36.59088077547629,43.67063118124092,41.275867347305876,36.53708729152851,46.014647403083245
LEAGUE,"(0, 1, 3)",54.86209900946915,False,,,,,,,,,,
LEAGUE,"(0, 1, 2)",54.8876495045294,False,,,,,,,,,,
LEAGUE,"(1, 1, 1)",56.474116598928646,False,,,,,,,,,,
LEAGUE,"(1, 1, 2)",57.039527132459305,False,,,,,,,,,,
LEAGUE,"(1, 1, 0)",57.37456747793811,False,,,,,,,,,,
LEAGUE,"(2, 1, 0)",58.272647707019374,False,,,,,,,,,,
LEAGUE,"(1, 1, 3)",60.127371594487116,False,,,,,,,,,,
LEAGUE,"(2, 1, 1)",60.34504875124207,False,,,,,,,,,,
LEAGUE,"(3, 1, 0)",60.876091518777535,False,,,,,,,,,,
LEAGUE,"(2, 1, 2)",63.54540161086586,False,,,,,,,,,,
LEAGUE,"(3, 1, 1)",63.79668413531349,False,,,,,,,,,,
LEAGUE,"(2, 1, 3)",65.18564881239499,False,,,,,,,,,,
LEAGUE,"(3, 1, 2)",68.7508602300594,False,,,,,,,,,,
LEAGUE,"(3, 1, 3)",72.53833544475924,False,,,,,,,,,,
