TEAM,ORDER,AICC,FORECAST_2025-26,FORECAST_2026-27,FORECAST_2027-28
Atlanta Hawks,"(0, 1, 3)",92.42264967181723,40.249157368827696,41.588900014353065,43.127878026048386
Boston Celtics,"(0, 1, 3)",86.6391418711217,49.680021689687955,52.07124261206947,54.18572774952792
Brooklyn Nets,"(0, 1, 3)",101.9804358789519,42.268221834186,42.8277380315061,44.32195670854354
Charlotte Hornets,"(0, 1, 2)",95.86114703778028,39.40297630135126,41.59595777867095,43.07649929257985
Chicago Bulls,"(0, 1, 3)",102.98755510484742,39.64137071538015,38.00870767901341,41.27322432219875
Cleveland Cavaliers,"(0, 1, 3)",89.83256611546942,43.67363671880354,44.601038809995345,42.84487185571001
Dallas Mavericks,"(0, 1, 3)",89.15773960232545,36.07730123253055,36.927658491358564,34.67622725226884
Denver Nuggets,"(1, 0, 3)",88.05840413128576,30.56431069064454,29.186350447038294,28.479132416768465
Detroit Pistons,"(0, 1, 3)",87.66481878059415,38.8605543441406,40.11395401948261,41.548904123072475
Golden State Warriors,"(0, 1, 3)",93.39032608152658,42.27305989885083,44.56123552465571,45.60548816184153
Houston Rockets,"(0, 1, 3)",102.82251203777014,39.962371693279486,40.392780257097364,42.94478095403858
Indiana Pacers,"(0, 1, 2)",87.98771815507577,35.02523958185192,36.01115996246496,36.40055380099919
LA Clippers,"(0, 1, 3)",81.77430998243108,36.376667390408734,38.6977791548757,39.69049289641948
Los Angeles Lakers,"(0, 1, 3)",91.81442836598627,36.873954581247226,37.205429325187566,38.49778202186515
Memphis Grizzlies,"(0, 1, 3)",84.7056180213612,39.631131757495666,41.14287524004527,42.783769274132666
Miami Heat,"(0, 1, 3)",94.68178927061018,39.5036027898675,41.33227503200623,42.168464279636055
Milwaukee Bucks,"(0, 1, 3)",106.03302189527463,38.31979838421193,41.564316133689104,44.05227846107849
Minnesota Timberwolves,"(0, 1, 3)",107.02821680330922,40.570961695296425,45.54744991745646,43.14372817548765
New Orleans Pelicans,"(2, 1, 3)",98.86521188766203,37.8609837887863,40.81908160896132,43.26383654537081
New York Knicks,"(0, 1, 3)",97.94899969325786,34.60873551725781,35.376329293585535,36.276532448683426
Oklahoma City Thunder,"(0, 1, 2)",79.43980769982267,40.99081962074026,41.65693681779207,43.12725886396756
Orlando Magic,"(0, 1, 3)",100.07049316128055,34.14426403210625,35.536874850684384,36.75476819333414
Philadelphia 76ers,"(1, 0, 2)",81.18217330661581,37.74511616565564,37.488449964293316,38.24153226868451
Phoenix Suns,"(0, 1, 3)",90.51172548930242,36.98033551195837,37.45576243793854,38.64093540974885
Portland Trail Blazers,"(3, 1, 1)",84.79130394341149,44.08228918391811,48.43820079189014,47.02536146435222
Sacramento Kings,"(0, 1, 3)",89.53985847310433,33.778059484199325,37.07713818433901,40.15246510465591
San Antonio Spurs,"(0, 1, 2)",79.73437795735835,41.011610739226704,43.8724147596878,45.115540822575426
Toronto Raptors,"(1, 0, 2)",105.23721325909543,34.430733245971716,34.76105553203062,35.09163136114153
Utah Jazz,"(0, 1, 3)",92.17383073906062,43.85917869798607,46.19940549256554,47.97566668844753
Washington Wizards,"(0, 1, 3)",94.02528013743466,39.0161620872486,39.49461973745495,40.62732390414825
