TEAM,ORDER,AICC
Atlanta Hawks,"(0, 0, 3)",227.5456056937023
Brooklyn Nets,"(2, 1, 3)",266.5099314544874
Boston Celtics,"(0, 0, 3)",252.5684801197247
Charlotte Hornets,"(0, 0, 2)",240.01543849932938
Chicago Bulls,"(0, 0, 3)",251.04009293343324
Cleveland Cavaliers,"(3, 0, 3)",249.88088270016144
Dallas Mavericks,"(0, 0, 3)",254.69785483204882
Denver Nuggets,"(1, 0, 2)",255.78408557389747
Detroit Pistons,"(0, 0, 3)",259.359281361945
Golden State Warriors,"(0, 0, 3)",281.5327224263232
Houston Rockets,"(0, 0, 3)",281.8357384646789
Indiana Pacers,"(0, 0, 3)",239.80051515765567
LA Clippers,"(0, 0, 3)",252.99762846640826
Los Angeles Lakers,"(1, 0, 3)",242.38977733361895
Memphis Grizzlies,"(2, 0, 3)",251.71258656208403
Miami Heat,"(0, 0, 3)",250.1705381498763
Milwaukee Bucks,"(0, 0, 3)",258.29969334335954
Minnesota Timberwolves,"(0, 0, 3)",232.41915935921526
New Orleans Pelicans,"(3, 0, 3)",263.9264521289181
New York Knicks,"(0, 0, 3)",252.91976086787682
Oklahoma City Thunder,"(0, 1, 3)",239.66656858573987
Orlando Magic,"(0, 0, 3)",264.7504328715422
Philadelphia 76ers,"(0, 1, 3)",252.1108535148431
Phoenix Suns,"(3, 1, 3)",277.34461395154193
Portland Trail Blazers,"(2, 1, 3)",239.02272430380484
Sacramento Kings,"(0, 0, 3)",261.3699060071343
San Antonio Spurs,"(0, 0, 3)",232.8278036381953
Toronto Raptors,"(0, 0, 3)",228.6414710205907
Utah Jazz,"(0, 0, 3)",254.64420306024064
Washington Wizards,"(2, 0, 3)",233.42982988064023
