TEAM,ORDER,AICC
Atlanta Hawks,"(0, 0, 3)",462.6436186500047
Brooklyn Nets,"(0, 1, 3)",490.33068675901234
Boston Celtics,"(2, 0, 3)",465.30620796779885
Charlotte Hornets,"(3, 0, 3)",479.4073214117033
Chicago Bulls,"(3, 0, 3)",493.40011675576926
Cleveland Cavaliers,"(2, 0, 3)",459.66400949894705
Dallas Mavericks,"(0, 0, 3)",476.6626947050807
Denver Nuggets,"(1, 0, 3)",495.69211425649956
Detroit Pistons,"(0, 0, 3)",503.2222997967085
Golden State Warriors,"(2, 0, 3)",483.0503933032649
Houston Rockets,"(2, 0, 3)",476.4515325584764
Indiana Pacers,"(0, 0, 3)",473.31158291948515
LA Clippers,"(2, 1, 3)",491.6245884820153
Los Angeles Lakers,"(1, 0, 3)",464.5692778794662
Memphis Grizzlies,"(2, 0, 3)",478.06497589433536
Miami Heat,"(2, 1, 3)",477.0565159606346
Milwaukee Bucks,"(0, 0, 3)",493.03271960467396
Minnesota Timberwolves,"(0, 0, 3)",482.65866195587137
New Orleans Pelicans,"(1, 0, 3)",499.5793211591199
New York Knicks,"(0, 0, 3)",476.4512568918935
Oklahoma City Thunder,"(2, 1, 3)",451.14257455076296
Orlando Magic,"(3, 0, 3)",495.89601093889746
Philadelphia 76ers,"(1, 1, 3)",483.1744448005057
Phoenix Suns,"(3, 1, 3)",485.7578565677016
Portland Trail Blazers,"(2, 1, 3)",464.3874956643226
Sacramento Kings,"(3, 0, 3)",481.7940428164518
San Antonio Spurs,"(0, 0, 3)",458.6710896122649
Toronto Raptors,"(2, 0, 3)",453.89307747650855
Utah Jazz,"(2, 0, 3)",491.9247828222679
Washington Wizards,"(2, 1, 3)",472.10461688476704
