TEAM,PENALTY_MULTIPLIER,BREAKPOINT_INDEX,BETWEEN_SEASONS,SEGMENT_MEAN_BEFORE,SEGMENT_MEAN_AFTER,MEAN_CHANGE,SEASONS_FROM_CURRY_MVP_2015_16,WITHIN_TWO_SEASONS_OF_MVP,PERMUTATION_P_VALUE,SIGNIFICANT_AT_0_05
Atlanta Hawks,1.5,9,2012-13 -> 2013-14,16.688888888888886,32.025,15.336111111111112,2,True,4.999750012499375e-05,True
Boston Celtics,1.5,12,2015-16 -> 2016-17,18.10833333333333,37.73333333333333,19.624999999999996,1,True,4.999750012499375e-05,True
Cleveland Cavaliers,1.5,10,2013-14 -> 2014-15,18.130000000000003,32.400000000000006,14.270000000000003,1,True,4.999750012499375e-05,True
New Orleans Pelicans,1.5,11,2014-15 -> 2015-16,16.33636363636364,30.540000000000003,14.203636363636363,0,True,4.999750012499375e-05,True
Chicago Bulls,1.5,13,2016-17 -> 2017-18,17.592307692307696,32.2375,14.645192307692302,2,True,4.999750012499375e-05,True
Dallas Mavericks,1.5,11,2014-15 -> 2015-16,19.40909090909091,35.97,16.56090909090909,0,True,4.999750012499375e-05,True
Denver Nuggets,1.5,12,2015-16 -> 2016-17,19.158333333333335,31.788888888888884,12.63055555555555,1,True,4.999750012499375e-05,True
Golden State Warriors,1.5,11,2014-15 -> 2015-16,22.41818181818182,35.99999999999999,13.581818181818171,0,True,4.999750012499375e-05,True
Houston Rockets,1.5,10,2013-14 -> 2014-15,22.04,38.18181818181818,16.14181818181818,1,True,4.999750012499375e-05,True
LA Clippers,1.5,9,2012-13 -> 2013-14,15.633333333333333,29.991666666666664,14.35833333333333,2,True,4.999750012499375e-05,True
Los Angeles Lakers,1.5,13,2016-17 -> 2017-18,21.138461538461538,32.05,10.91153846153846,2,True,4.999750012499375e-05,True
Miami Heat,1.5,12,2015-16 -> 2016-17,18.5,33.68888888888889,15.18888888888889,1,True,4.999750012499375e-05,True
Milwaukee Bucks,1.5,14,2017-18 -> 2018-19,18.49285714285714,38.22857142857142,19.73571428571428,3,False,4.999750012499375e-05,True
Minnesota Timberwolves,1.5,14,2017-18 -> 2018-19,17.30714285714286,36.17142857142857,18.86428571428571,3,False,4.999750012499375e-05,True
Brooklyn Nets,1.5,12,2015-16 -> 2016-17,18.975,35.47777777777778,16.50277777777778,1,True,4.999750012499375e-05,True
New York Knicks,1.5,4,2007-08 -> 2008-09,15.075,24.580000000000002,9.505000000000003,7,False,0.0006499675016249188,True
New York Knicks,1.5,14,2017-18 -> 2018-19,24.580000000000002,32.91428571428572,8.334285714285716,3,False,0.0006499675016249188,True
Orlando Magic,1.5,3,2006-07 -> 2007-08,10.866666666666665,23.740000000000002,12.873333333333337,8,False,0.0015499225038748063,True
Orlando Magic,1.5,13,2016-17 -> 2017-18,23.740000000000002,32.5,8.759999999999998,2,True,0.0015499225038748063,True
Indiana Pacers,1.5,16,2019-20 -> 2020-21,21.4625,35.5,14.037500000000001,5,False,4.999750012499375e-05,True
Philadelphia 76ers,1.5,10,2013-14 -> 2014-15,15.16,30.927272727272733,15.767272727272733,1,True,4.999750012499375e-05,True
Phoenix Suns,1.5,13,2016-17 -> 2017-18,22.569230769230767,32.3375,9.768269230769231,2,True,4.999750012499375e-05,True
Portland Trail Blazers,1.5,9,2012-13 -> 2013-14,17.511111111111106,32.11666666666667,14.605555555555561,2,True,4.999750012499375e-05,True
Sacramento Kings,1.5,14,2017-18 -> 2018-19,19.021428571428572,34.728571428571435,15.707142857142863,3,False,4.999750012499375e-05,True
San Antonio Spurs,1.5,15,2018-19 -> 2019-20,20.67333333333334,32.85,12.176666666666662,4,False,9.99950002499875e-05,True
Oklahoma City Thunder,1.5,13,2016-17 -> 2017-18,19.153846153846153,34.1,14.946153846153848,2,True,4.999750012499375e-05,True
Toronto Raptors,1.5,13,2016-17 -> 2017-18,19.6,34.55,14.949999999999996,2,True,4.999750012499375e-05,True
Utah Jazz,1.5,13,2016-17 -> 2017-18,16.23846153846154,37.025,20.78653846153846,2,True,4.999750012499375e-05,True
Memphis Grizzlies,1.5,12,2015-16 -> 2016-17,15.574999999999998,31.899999999999995,16.324999999999996,1,True,4.999750012499375e-05,True
Washington Wizards,1.5,13,2016-17 -> 2017-18,18.43846153846154,32.287499999999994,13.849038461538456,2,True,4.999750012499375e-05,True
Detroit Pistons,1.5,10,2013-14 -> 2014-15,15.64,30.71818181818181,15.078181818181811,1,True,4.999750012499375e-05,True
Charlotte Hornets,1.5,11,2014-15 -> 2015-16,15.827272727272726,33.34,17.512727272727275,0,True,4.999750012499375e-05,True
