PLAYER,LAG,F_STATISTIC,P_VALUE,SIGNIFICANT_AT_0_05,SIGNIFICANT_AT_0_10,STATIONARITY_RESOLVED,N_DIFFERENCES_APPLIED,N_SEASONS
Stephen Curry,1,1.588248595370786,0.2336552991856094,False,False,True,1,16
Stephen Curry,2,4.668334695314289,0.04534164567549451,True,True,True,1,16
Klay Thompson,1,2.1725395438282726,0.18398789979771712,False,False,True,1,12
Klay Thompson,2,2.4885706255329865,0.19853810181000028,False,False,True,1,12
James Harden,1,0.0009580275612494762,0.9759168486721953,False,False,False,2,16
James Harden,2,1.0736472395026047,0.3920295716952604,False,False,False,2,16
Damian Lillard,1,0.022625322149724646,0.8846780798576677,False,False,True,2,13
Damian Lillard,2,0.12918676672144017,0.8823329029586396,False,False,True,2,13
Kevin Durant,1,0.001180960912970693,0.9732016708309082,False,False,True,2,17
Kevin Durant,2,0.4983761422497719,0.625197016189614,False,False,True,2,17
