TEAM,ORDER,AICC
Atlanta Hawks,"(0, 0, 3)",460.41574223267867
Brooklyn Nets,"(0, 1, 3)",490.48159950444665
Boston Celtics,"(1, 0, 3)",472.75903490573546
Charlotte Hornets,"(3, 0, 3)",480.65595324702247
Chicago Bulls,"(3, 0, 3)",490.96476287605753
Cleveland Cavaliers,"(2, 0, 3)",457.3716383993127
Dallas Mavericks,"(0, 0, 3)",474.46372440398187
Denver Nuggets,"(0, 0, 3)",495.7723365625496
Detroit Pistons,"(0, 0, 3)",501.03993216551936
Golden State Warriors,"(2, 0, 3)",485.83525351739183
Houston Rockets,"(2, 0, 3)",474.0660093196021
Indiana Pacers,"(0, 0, 3)",471.03477945668163
LA Clippers,"(2, 1, 3)",489.3664470472841
Los Angeles Lakers,"(1, 0, 3)",467.41407707948576
Memphis Grizzlies,"(2, 0, 3)",475.70523179751694
Miami Heat,"(2, 1, 3)",473.1327465080636
Milwaukee Bucks,"(0, 0, 3)",490.7806917958779
Minnesota Timberwolves,"(0, 0, 3)",480.4212036184279
New Orleans Pelicans,"(1, 0, 3)",497.50856184825454
New York Knicks,"(0, 0, 3)",474.2594807090965
Oklahoma City Thunder,"(3, 1, 3)",452.62438695902813
Orlando Magic,"(3, 0, 3)",493.41758516816475
Philadelphia 76ers,"(1, 1, 3)",481.43034614971265
Phoenix Suns,"(3, 1, 3)",483.3104574852583
Portland Trail Blazers,"(2, 1, 3)",462.7721771974254
Sacramento Kings,"(3, 0, 3)",479.4637822942909
San Antonio Spurs,"(0, 0, 3)",456.9176931962901
Toronto Raptors,"(2, 0, 3)",451.49643715255
Utah Jazz,"(2, 0, 3)",494.2809829890608
Washington Wizards,"(2, 1, 3)",470.96900569045573
