TEAM,ORDER,AICC,FORECAST_2025-26,FORECAST_2026-27,FORECAST_2027-28
Atlanta Hawks,"(0, 1, 3)",95.04557445546698,36.926851363284754,37.415093990411975,37.45467265600717
Boston Celtics,"(0, 1, 3)",86.8674533864353,48.5523602538409,50.06353435031239,50.495864279266186
Brooklyn Nets,"(0, 1, 3)",103.31275379911038,40.12046978894335,38.6983905481965,38.99692956186515
Charlotte Hornets,"(0, 1, 3)",93.69244192783837,35.60930406720204,34.87021730910113,36.32986540461225
Chicago Bulls,"(0, 1, 3)",106.34148425038799,35.05466532016369,32.61683937598182,37.196791608499154
Cleveland Cavaliers,"(0, 1, 3)",89.97082057494869,45.194213853710465,46.850843789862694,46.048839726538624
Dallas Mavericks,"(0, 1, 3)",85.67435541510031,35.421376018611156,35.85250437945379,32.99980600281263
Denver Nuggets,"(1, 0, 3)",84.51332168844604,30.72364728062284,29.472421935376637,28.82507600159831
Detroit Pistons,"(0, 1, 3)",88.74041851097746,35.4460043204245,34.185281525310025,35.608774234842336
Golden State Warriors,"(0, 1, 3)",94.70093685809073,40.65922777506699,41.329407786706035,41.25900420602114
Houston Rockets,"(0, 1, 3)",99.98139072484209,38.1925937862195,36.6705041809927,36.89357335933039
Indiana Pacers,"(0, 1, 2)",84.70395690251065,34.82204392813373,35.605751767939644,35.605751767939644
LA Clippers,"(1, 1, 3)",84.13006244226867,34.67261367257545,35.73561491658541,36.26722570996043
Los Angeles Lakers,"(0, 1, 3)",92.87894050195474,32.93296942611536,31.560658179758402,32.635438447199604
Memphis Grizzlies,"(0, 1, 3)",85.34954197626506,38.47932230229457,38.58368812203837,38.500379750694584
Miami Heat,"(1, 1, 3)",93.80384748399779,37.89765345537774,37.56705761851689,37.373793217417855
Milwaukee Bucks,"(0, 1, 3)",104.63065404190299,36.017900989673365,35.663484674567066,35.74007413566052
Minnesota Timberwolves,"(0, 1, 3)",106.48594365717106,40.39903051170567,44.49306902034044,41.00834679762997
New Orleans Pelicans,"(0, 1, 3)",97.35639767690257,34.11125200254631,35.74054005428456,36.54165906689371
New York Knicks,"(0, 1, 3)",93.97865084507332,36.22752474980528,35.850938200001494,34.095136432636465
Oklahoma City Thunder,"(0, 1, 3)",85.7993004836968,37.94162370776634,37.780799117584074,39.86590140981708
Orlando Magic,"(0, 1, 3)",95.9943276926429,33.63209331536348,34.63780456243624,35.44245816793216
Philadelphia 76ers,"(1, 0, 3)",83.59348994911552,39.08111491795538,40.782734041473965,42.99453139683192
Phoenix Suns,"(0, 1, 3)",91.99249763008586,35.509825511453585,33.60869753165927,34.98238211080182
Portland Trail Blazers,"(0, 1, 3)",88.34786572735116,38.730919707950676,38.98661187074148,38.18829630721819
Sacramento Kings,"(0, 1, 3)",89.24300054242792,35.32978549160812,37.550842684071554,35.92068106529295
San Antonio Spurs,"(1, 1, 3)",79.44770184618432,44.18448468222357,49.437533013893855,55.78164193759058
Toronto Raptors,"(1, 0, 2)",102.73558498708701,35.021987437223736,36.08889657172934,37.10267203299421
Utah Jazz,"(0, 1, 3)",93.16929105879161,40.36611050569109,41.10598141265246,41.27075407665236
Washington Wizards,"(0, 1, 3)",95.21357372302533,39.99583658523421,40.932449645432015,41.28798733788857
