SEASON,Atlanta Hawks,Boston Celtics,Cleveland Cavaliers,New Orleans Pelicans,Chicago Bulls,Dallas Mavericks,Denver Nuggets,Golden State Warriors,Houston Rockets,LA Clippers,Los Angeles Lakers,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,Brooklyn Nets,New York Knicks,Orlando Magic,Indiana Pacers,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Oklahoma City Thunder,Toronto Raptors,Utah Jazz,Memphis Grizzlies,Washington Wizards,Detroit Pistons,Charlotte Hornets
2004-05,11.9,15.3,11.0,16.0,17.5,15.5,11.5,21.6,18.5,8.2,22.1,15.4,11.3,14.0,14.7,15.1,11.2,19.2,17.7,24.7,14.2,17.0,17.0,22.2,20.5,9.3,18.1,18.3,12.8,10.7
2005-06,14.1,15.7,17.9,10.8,18.0,13.6,13.1,22.3,17.2,10.3,19.3,17.6,16.3,11.5,17.6,10.8,9.7,18.7,12.6,25.6,12.7,17.2,16.6,19.9,19.8,11.3,19.2,17.0,17.7,15.4
2006-07,12.7,15.6,17.1,15.3,15.1,17.1,17.6,24.0,23.1,11.0,21.0,18.8,18.0,13.3,20.4,16.7,11.7,16.9,10.0,24.0,15.0,18.5,19.0,17.7,17.9,12.9,16.6,19.7,15.9,15.6
2007-08,13.1,19.1,18.8,19.8,15.9,17.1,19.6,26.6,20.8,13.2,21.4,16.7,16.0,15.4,17.4,17.7,25.3,24.6,11.6,21.5,17.4,16.7,19.6,11.5,17.8,13.4,21.7,19.7,16.2,17.6
2008-09,19.9,16.5,20.4,18.6,15.8,19.9,18.0,18.0,20.2,18.5,18.5,19.9,17.2,18.8,21.2,27.9,26.2,21.0,13.1,17.6,19.0,19.4,19.8,11.6,15.7,13.7,13.5,14.6,13.2,16.3
2009-10,17.7,17.5,19.3,19.2,13.0,18.3,18.5,20.6,22.4,17.8,19.0,17.4,22.1,14.4,14.5,26.2,27.3,23.1,16.8,21.6,16.9,16.9,18.9,15.0,17.0,14.7,12.4,14.9,14.5,16.2
2010-11,17.4,13.6,18.2,15.0,17.3,21.6,20.8,21.3,22.5,18.5,18.1,18.0,17.2,19.1,16.3,25.4,25.6,20.2,15.2,22.6,18.3,15.6,21.1,17.1,13.3,15.3,11.3,14.4,15.3,14.7
2011-12,20.2,15.0,19.3,11.8,16.9,22.2,19.9,20.5,20.2,21.8,16.8,15.6,19.2,21.6,22.4,23.3,27.0,16.1,14.6,19.6,20.9,19.7,21.3,20.0,16.3,12.8,12.9,16.3,13.9,13.5
2012-13,23.2,17.2,19.3,18.0,15.4,19.9,18.5,19.9,28.9,21.4,24.6,22.1,20.4,18.0,21.5,28.9,18.7,19.7,17.5,17.7,23.2,20.5,21.5,19.4,20.3,16.9,13.5,18.2,17.6,17.1
2013-14,25.8,21.1,20.0,15.9,17.8,22.9,23.9,24.8,26.6,24.0,24.8,22.3,18.9,21.4,23.4,24.9,19.5,18.8,22.5,25.1,25.3,18.0,21.4,22.4,23.4,19.2,14.0,20.8,19.3,17.9
2014-15,26.2,24.6,27.5,19.3,22.3,25.4,24.8,27.0,32.7,26.9,18.9,20.2,18.3,14.9,19.9,19.7,19.5,21.2,26.3,25.0,27.2,16.5,22.5,22.7,25.1,21.7,15.2,16.8,24.9,19.1
2015-16,28.4,26.1,29.6,23.8,21.4,28.6,23.7,31.6,30.9,26.7,24.6,18.0,15.6,16.4,18.4,21.5,22.2,23.0,27.5,25.8,28.5,22.4,18.5,23.7,23.4,23.9,18.5,24.2,26.2,29.4
2016-17,26.1,33.4,33.9,26.8,22.3,30.2,28.8,31.2,40.3,27.4,25.7,27.0,23.7,21.0,31.6,24.7,26.1,23.0,29.8,22.6,27.7,23.9,23.5,25.8,24.3,26.0,26.5,24.8,23.4,28.6
2017-18,31.0,30.4,32.1,28.2,31.1,32.8,30.9,28.9,42.3,26.8,29.1,30.6,24.7,22.5,35.7,23.3,29.3,24.5,29.8,27.9,28.1,24.0,24.1,30.4,33.0,29.6,26.2,26.5,28.9,27.2
2018-19,37.0,34.5,29.1,29.9,25.9,36.6,31.4,34.4,45.4,25.8,31.0,32.4,38.2,28.7,36.2,29.5,32.1,25.4,30.2,29.3,30.7,29.9,25.3,32.6,33.8,34.0,28.9,33.3,34.8,33.9
2019-20,36.1,34.5,31.8,36.9,35.1,41.3,30.6,31.3,45.3,33.5,31.6,35.4,38.9,39.7,38.1,28.4,32.2,28.0,31.6,31.8,34.1,34.9,28.5,30.2,37.0,35.2,31.5,32.6,32.7,34.3
2020-21,33.4,36.4,29.7,30.4,34.0,38.1,34.2,38.7,40.6,34.7,31.2,36.2,37.1,37.6,36.1,30.0,31.8,34.0,30.1,34.6,40.8,33.3,28.4,35.1,39.3,43.0,31.4,29.0,32.9,37.0
2021-22,34.4,37.1,32.8,32.1,28.8,37.4,35.9,39.4,38.7,34.2,34.5,35.8,38.4,41.3,31.7,36.9,36.9,35.4,31.8,31.9,36.8,33.2,32.0,37.4,34.2,40.3,32.7,30.6,34.6,38.2
2022-23,30.5,42.6,31.6,30.1,28.9,41.0,31.2,43.2,31.9,33.3,31.2,34.8,40.3,33.3,33.8,35.7,31.1,37.0,32.6,32.6,35.3,37.3,32.2,34.1,32.0,37.8,34.2,31.7,32.4,32.5
